compound_id	pert_id	smiles	SAFE
hesperidin	BRD-K38903228	COc1ccc(C2CC(=O)c3c(O)cc(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)cc3O2)cc1O	C1%12CC(=O)c2c(O)cc%10cc2O1.C17OC%11C(O)C(O)C1O.C18OC(C)C(O)C(O)C1O.c19ccc%12cc1O.CO9.O7%10.C6%11.O68
BCL2-inhibitor	BRD-K39111395	COc1ccc([N+][O-])c(CCc2cc(OC)ccc2[N+][O-])c1	c13ccc([N+][O-])c5c1.c16cc4ccc1[N+][O-].C5C6.CO3.O4C
bithionol	BRD-K39120595	Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O	Oc1c2cc(Cl)cc1Cl.c13cc(Cl)cc(Cl)c1O.S23
epirizole	BRD-K39339537	COc1cc(C)nc(-n2nc(C)cc2OC)n1	c13cc(C)nc5n1.n15nc(C)cc14.CO3.O4C
ethylestrenol	BRD-K39391626	CCC1(O)CCC2C3CCC4=CCCCC4C3CCC21C	C15(O)CCC2C3CCC4=CCCCC4C3CCC21C.CC5
dexchlorpheniramine	BRD-K39462424	CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1	c14ccc(Cl)cc1.c13ccccn1.C2CC34.CN2C
GW-5074	BRD-K39520573	O=C1Nc2ccc(I)cc2C1=Cc1cc(Br)c(O)c(Br)c1	O=C1Nc2ccc(I)cc2C1=3.C=3c1cc(Br)c(O)c(Br)c1
avrainvillamide-analog-3	BRD-K39569857	CC1(C)C2=[N+]([O-])c3cc4c(cc3C2=CC23NC(=O)C5(CCCN5C2=O)CC13)OCO4	CC1(C)C2=[N+]([O-])c3cc4c(cc3C2=CC23NC(=O)C5(CCCN5C2=O)CC13)OCO4
artemether	BRD-K39621635	COC1OC2OC3(C)CCC4C(C)CCC(C1C)C24OO3	C15OC2OC3(C)CCC4C(C)CCC(C1C)C24OO3.CO5
amthamine	BRD-K39670393	Cc1nc(N)sc1CCN	Cc1nc(N)sc12.C2CN
L-161982	BRD-K39733634	CCCCc1nn(-c2ccccc2C(F)(F)F)c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)c2sccc2C)cc1	c1%11ccccc1S4(=O)=O.c17nn%10c(=O)n16.c1%10ccccc18.c19ccc%11cc1.c15sccc1C.CCCC7.C8(F)(F)F.C35=O.C69.N34
